Code,Type,Inclusion,LastModDate,Revision
add1,Coolant,Yes,8/8/2016,Needed
add2,OCP,No,10/3/2014,Needed
add3,VI Improver,No,12/6/2018,Needed
add4,VI Improver,No,4/15/2015,Needed
add5,Performance Additive,Yes,2/14/2018,Needed
add6,VI Improver,No,11/22/2012,Needed
add7,Motor Oil Additive,Yes,10/26/2018,Needed
add8,Transmission Oil Additive,Yes,4/12/2017,Needed
add9,PPD,No,1/12/2015,Needed
add10,Performance Additive,Yes,7/6/2018,Needed
add11,VI Improver,No,5/6/2016,Needed
add12,Diesel Heavy Additive,Yes,10/18/2018,Needed
add13,Oil Additive,Yes,10/16/2018,Needed
add14,Oil Additive,Yes,10/16/2018,Needed
add15,Transmission Oil Additive,Yes,10/15/2018,Needed
add16,PPD Add,Yes,2/22/2018,Needed
add17,Diesel Heavy Additive,Yes,5/6/2016,Needed
add18,Transmission Oil Additive,Yes,2/23/2019,Needed
add19,Transmission Oil Additive,Yes,2/24/2019,Needed
add20,Sealant,No,3/3/2011,Needed
add21,Performance Additive,Yes,2/22/2018,Needed
add22,Performance Additive,Yes,2/22/2018,Needed
add23,Performance Additive,Yes,12/2/2018,Needed
add24,Performance Additive,No,12/17/2018,Needed
add25,Performance Additive,Yes,12/24/2018,Needed
add26,Performance Additive,No,3/21/2012,Needed
add27,Petroleum Base Oil,Yes,3/12/2017,Needed
